year,VClass,comb08,cylinders,displ,drive,fuelType,trany
1984,Small Pickup Trucks 2WD,19,4.0,2.3,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,21,4.0,2.3,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,19,4.0,2.3,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,21,4.0,2.3,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,19,4.0,2.3,2-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicle 4WD,11,8.0,5.9,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicle 4WD,15,4.0,2.6,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicle 4WD,17,4.0,2.6,4-Wheel or All-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,22,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,24,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicle 4WD,21,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,22,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicle 4WD,24,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,20,4.0,2.6,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,20,4.0,2.6,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,20,4.0,2.6,2-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,20,6.0,2.8,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,18,4.0,2.6,2-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,19,6.0,2.8,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,26,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Special Purpose Vehicle 4WD,21,4.0,2.5,4-Wheel or All-Wheel Drive,Regular,Manual 5-spd
1984,Special Purpose Vehicle 4WD,16,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,19,4.0,2.0,2-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,20,4.0,2.0,2-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,23,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,24,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,19,4.0,2.0,2-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicle 4WD,16,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicle 4WD,17,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,18,6.0,2.8,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,18,6.0,2.8,2-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicle 4WD,15,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Small Pickup Trucks 2WD,18,6.0,2.8,2-Wheel Drive,Regular,Automatic 4-spd
1984,Special Purpose Vehicle 4WD,16,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,22,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Small Pickup Trucks 2WD,21,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,20,4.0,2.0,2-Wheel Drive,Regular,Automatic 4-spd
1984,Small Pickup Trucks 2WD,24,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Small Pickup Trucks 2WD,23,4.0,2.0,2-Wheel Drive,Regular,Manual 5-spd
1984,Special Purpose Vehicle 4WD,20,4.0,1.8,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
